genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	role_name	superclass	class	subclass	subsystem_name
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.2	HMPREF1069_00001		V-type ATP synthase subunit E (EC 3.6.3.14)	V-type ATP synthase subunit E (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.3	HMPREF1069_00002		V-type ATP synthase subunit C (EC 3.6.3.14)	V-type ATP synthase subunit C (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.4	HMPREF1069_00003		V-type ATP synthase subunit A (EC 3.6.3.14)	V-type ATP synthase subunit A (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.5	HMPREF1069_00004		V-type ATP synthase subunit B (EC 3.6.3.14)	V-type ATP synthase subunit B (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.6	HMPREF1069_00005		V-type ATP synthase subunit D (EC 3.6.3.14)	V-type ATP synthase subunit D (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.7	HMPREF1069_00006		V-type ATP synthase subunit I (EC 3.6.3.14)	V-type ATP synthase subunit I (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.8	HMPREF1069_00007		V-type ATP synthase subunit K (EC 3.6.3.14)	V-type ATP synthase subunit K (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.11	HMPREF1069_00009		Glycogen phosphorylase (EC 2.4.1.1)	Glycogen phosphorylase (EC 2.4.1.1)	Metabolism	Carbohydrates	Polysaccharides	Glycogen metabolism
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.13	HMPREF1069_00011		Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)	Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)	Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, creatine, polyamines	Polyamine Metabolism
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.15	HMPREF1069_00013		Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)	Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)	Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, creatine, polyamines	Polyamine Metabolism
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.16	HMPREF1069_00014		Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)	Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)	Metabolism	Amino Acids and Derivatives	Arginine; urea cycle, creatine, polyamines	Polyamine Metabolism
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.24	HMPREF1069_00021		Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family	Membrane Transport	Membrane Transport		Utilization systems for glycans and polysaccharides (PULs, SUS)
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.25	HMPREF1069_00022		Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	Membrane Transport	Membrane Transport		Utilization systems for glycans and polysaccharides (PULs, SUS)
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.26	HMPREF1069_00023		Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family	Membrane Transport	Membrane Transport		Utilization systems for glycans and polysaccharides (PULs, SUS)
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.29	HMPREF1069_00026		Fucose permease	Fucose permease	Metabolism	Carbohydrates	Monosaccharides	L-fucose dissimilation cluster
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.29	HMPREF1069_00026		Fucose permease	Fucose permease	Metabolism	Carbohydrates	Monosaccharides	L-fucose utilization
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.30	HMPREF1069_00027		L-fucose mutarotase, type 2 (EC 5.1.3.29)	L-fucose mutarotase (EC 5.1.3.29)	Metabolism	Carbohydrates	Monosaccharides	L-fucose dissimilation cluster
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.30	HMPREF1069_00027		L-fucose mutarotase, type 2 (EC 5.1.3.29)	L-fucose mutarotase (EC 5.1.3.29)	Metabolism	Carbohydrates	Monosaccharides	L-fucose utilization
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.31	HMPREF1069_00028		L-fuculokinase (EC 2.7.1.51)	L-fuculokinase (EC 2.7.1.51)	Metabolism	Carbohydrates	Monosaccharides	L-fucose dissimilation cluster
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.31	HMPREF1069_00028		L-fuculokinase (EC 2.7.1.51)	L-fuculokinase (EC 2.7.1.51)	Metabolism	Carbohydrates	Monosaccharides	L-fucose utilization
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.32	HMPREF1069_00029		L-fuculose phosphate aldolase (EC 4.1.2.17)	L-fuculose phosphate aldolase (EC 4.1.2.17)	Metabolism	Carbohydrates	Monosaccharides	L-fucose dissimilation cluster
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.32	HMPREF1069_00029		L-fuculose phosphate aldolase (EC 4.1.2.17)	L-fuculose phosphate aldolase (EC 4.1.2.17)	Metabolism	Carbohydrates	Monosaccharides	L-fucose utilization
997885.3	Bacteroides ovatus CL02T12C04	fig|997885.3.peg.33	HMPREF1069_00030		L-fucose isomerase (EC 5.3.1.25) @ D-Arabinose ketol-isomerase (EC 5.3.1.3)	L-fucose isomerase (EC 5.3.1.25)	Metabolism	Carbohydrates	Monosaccharides	L-fucose dissimilation cluster
