genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	role_name	superclass	class	subclass	subsystem_name
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.2			Chromosome (plasmid) partitioning protein ParA	Chromosome (plasmid) partitioning protein ParA		Clustering-based subsystems	Cell Division	Cell division related cluster
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.3	ALIPUT_00009		Chromosome (plasmid) partitioning protein ParA	Chromosome (plasmid) partitioning protein ParA		Clustering-based subsystems	Cell Division	Cell division related cluster
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.8	ALIPUT_00015		V-type ATP synthase subunit K (EC 3.6.3.14)	V-type ATP synthase subunit K (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.13	ALIPUT_00023		4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)		Clustering-based subsystems	Lysine Biosynthesis	Peptidase clustering with DAP
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.15	ALIPUT_00019		DNA ligase (NAD(+)) (EC 6.5.1.2)	DNA ligase (NAD(+)) (EC 6.5.1.2)	DNA Processing	DNA Processing	DNA repair	DNA Repair Base Excision
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.20	ALIPUT_01473		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	Metabolism	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Nonmevalonate Branch of Isoprenoid Biosynthesis
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.25	ALIPUT_01478		Purine nucleoside phosphorylase (EC 2.4.2.1)	Purine nucleoside phosphorylase (EC 2.4.2.1)	Metabolism	Nucleosides and Nucleotides		Adenosyl nucleosidases
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.27	ALIPUT_01479		Single-stranded DNA-binding protein	Single-stranded DNA-binding protein	DNA Processing	DNA Processing	DNA repair	DNA repair, bacterial
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.27	ALIPUT_01479		Single-stranded DNA-binding protein	Single-stranded DNA-binding protein	DNA Processing	DNA Processing	DNA repair	DNA repair, bacterial RecFOR pathway
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.38	ALIPUT_01490		PaaD-like protein (DUF59) involved in Fe-S cluster assembly	PaaD-like protein (DUF59) involved in Fe-S cluster assembly	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Fe-S clusters	Fe-S cluster assembly
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.39	ALIPUT_01491		Sulfur acceptor protein => iron-sulfur cluster assembly SufE	Sulfur acceptor protein => iron-sulfur cluster assembly SufE	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Fe-S clusters	Fe-S cluster assembly
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.44	ALIPUT_01496		4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	Metabolism	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Nonmevalonate Branch of Isoprenoid Biosynthesis
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.45	ALIPUT_01497		Ribose 5-phosphate isomerase B (EC 5.3.1.6)	Ribose-5-phosphate isomerase B (EC 5.3.1.6)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.50	ALIPUT_01504		GTP-binding protein TypA/BipA	GTP-binding protein TypA/BipA	Protein Processing	Protein Synthesis		Universal GTPases
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.52	ALIPUT_01507		NADP-dependent malic enzyme (EC 1.1.1.40)	NADP-dependent malic enzyme (EC 1.1.1.40)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Pyruvate metabolism I: anaplerotic reactions, PEP
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.55	ALIPUT_01510		Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	DNA Processing	DNA Processing	DNA recombination	RuvABC plus a hypothetical
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.57	ALIPUT_01514		Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism with fusion events
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.58	ALIPUT_01515		Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)	Metabolism	Phosphate Metabolism		High affinity phosphate transporter and control of PHO regulon
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.63	ALIPUT_01520		Excinuclease ABC subunit B	Excinuclease ABC subunit B	DNA Processing	DNA Processing	DNA repair	DNA repair, UvrABC system
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.65	ALIPUT_01522		DNA primase (EC 2.7.7.-)	DNA primase DnaG	Cellular Processes	Cell Cycle, Cell Division and Death		Macromolecular synthesis operon
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.66	ALIPUT_01523		tmRNA-binding protein SmpB	tmRNA-binding protein SmpB	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response: Heat/cold shock	Heat shock dnaK gene cluster extended
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.66	ALIPUT_01523		tmRNA-binding protein SmpB	tmRNA-binding protein SmpB	Protein Processing	Protein Synthesis	Translation	Trans-translation by stalled ribosomes
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.66	ALIPUT_01523		tmRNA-binding protein SmpB	tmRNA-binding protein SmpB	Protein Processing	Protein Synthesis	Translation	Translation termination factors, bacterial
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.67	ALIPUT_01525		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	RNA Processing	RNA Processing	RNA processing and modification	YrdC-YciO-Sua5 and associated protein families
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.71	ALIPUT_01532		Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.77	ALIPUT_01536		DNA recombination protein RmuC	DNA recombination protein RmuC	DNA Processing	DNA Processing	DNA repair	DNA repair, bacterial
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.79	ALIPUT_01540		Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	Metabolism	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty Acid Biosynthesis FASII
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.79	ALIPUT_01540		Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	Metabolism	Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty Acid Biosynthesis cluster
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.80	ALIPUT_01541		Superoxide dismutase [Mn/Fe] (EC 1.15.1.1)	Superoxide dismutase [Fe] (EC 1.15.1.1)	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Protection from Reactive Oxygen Species
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.82	ALIPUT_01542		Class A beta-lactamase (EC 3.5.2.6)	Class A beta-lactamase (EC 3.5.2.6)	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Beta-lactamases Ambler class A
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.85	ALIPUT_01544		Magnesium and cobalt transport protein CorA	Magnesium and cobalt transport protein CorA	Membrane Transport	Membrane Transport	Cation transporters	Magnesium transport
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.92	ALIPUT_01562		beta-galactosidase (EC 3.2.1.23)	beta-galactosidase (EC 3.2.1.23)	Metabolism	Carbohydrates	Di- and oligosaccharides	Lactose utilization
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.97	ALIPUT_01569		Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Biotin	Biotin biosynthesis
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.97	ALIPUT_01569		Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Biotin	Biotin synthesis & utilization
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.100	ALIPUT_01575		tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)	tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)	RNA Processing	RNA Processing	RNA processing and modification	Methylthiotransferases
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.100	ALIPUT_01575		tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)	tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)	Protein Processing	Protein Fate (folding, modification, targeting, degradation)	Protein processing and modification	Ribosomal protein S12p Asp methylthiotransferase
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.101	ALIPUT_01576		DEAD-box ATP-dependent RNA helicase DeaD (= CshA) (EC 3.6.4.13)	DEAD-box ATP-dependent RNA helicase DeaD (= CshA) (EC 3.6.4.13)	RNA Processing	RNA Processing	RNA processing and modification	ATP-dependent RNA helicases, bacterial
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.102	ALIPUT_01577		Catalase KatE (EC 1.11.1.6)	Catalase KatE (EC 1.11.1.6)	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Protection from Reactive Oxygen Species
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.142	ALIPUT_01664		GTP-binding protein EngA	GTP-binding protein EngA	Protein Processing	Protein Synthesis		Universal GTPases
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.151	ALIPUT_01675		GTP-binding and nucleic acid-binding protein YchF	GTP-binding and nucleic acid-binding protein YchF	Protein Processing	Protein Synthesis		Universal GTPases
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.155	ALIPUT_01678		Glutamyl-tRNA synthetase (EC 6.1.1.17)	Glutamyl-tRNA synthetase (EC 6.1.1.17)	Protein Processing	Protein Synthesis	Aminoacyl-tRNA-synthetases	tRNA aminoacylation, Gln
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.155	ALIPUT_01678		Glutamyl-tRNA synthetase (EC 6.1.1.17)	Glutamyl-tRNA synthetase (EC 6.1.1.17)	Protein Processing	Protein Synthesis	Aminoacyl-tRNA-synthetases	tRNA aminoacylation, Glu
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.158	ALIPUT_01680		Thiamin-regulated outer membrane receptor Omr1	Thiamin-regulated outer membrane receptor Omr1	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Thiamin	Thiamin, thiazole, hydroxymethylpyrimidine salvage and uptake
445970.5	Alistipes putredinis DSM 17216	fig|445970.5.peg.159	ALIPUT_01681		Predicted thiamin transporter PnuT	Predicted thiamin transporter PnuT	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Thiamin	Thiamin, thiazole, hydroxymethylpyrimidine salvage and uptake
